comments,tone
Waqai mai yr yeh pura hum pr bana hai aisa hi huwa tha kahi bhi nazer hi nh aya ,Negative
 Jab wo off stump ki taraf ball ko dhondne nikalte to aisa maloom hota tha ke jaise bijli koond rahi ho,Positive
"Is qaziye ke bare mein pochen to baat ziyadah aage nahi barhai, bataya to sirf itna ke jo howa wo ghalat howa",Negative
Allah salamat rakhay ap no.,Positive
Ahmed Nadeem Qasmi ne 1935 se shayari aur afsana nigari shuro ki woh Urdu adab mein taraqi pasand tahrek se wabasta huye,Positive
Aunty last point per jeet gai ,Positive
lena ka koi fida nahi ha pasa zaya ha asa lagta bnda na bnyan pani ksm sa,Negative
Wo Punjab kutth ki nasal SS ha is lay Lahore....,Neutral
Sahi ja rahi hain aap ,Neutral
phupho thanku ❤️,Positive
Jis ki wajah se un ke dil mein adakari ke bare mein dilchaspi paida hoti gai,Positive
"Majida Rizvi career ki kahani sunate howae kehti hain ke meri education Karachi mein hoi, main ne woman College se graduation kiya, is ke baad Karachi University se political science aur international relations mein masters kar ke main law karne S.M College ayi.",Neutral
Main bhata ta ho yi tum ny ki ya hai ashraf ghani,Neutral
 Nojawan Iftikhar Muhammad Chaudhry muztarib to rahe lekin apna safar jari rakha,Neutral
In Elite class. Its normal. Boi. Go ahead. Give space to everyone.,Neutral
"24 October 1990 ko honay walay intakhabat say qabal Awami National party, Pakistan Muslim league, Jamiat Ulema Islam aur sabiq COP mein intaykhabi mohayda tay paya aur un jamaton nay milkar IJI kay baynar talay intakhabat mein hissa leya",Neutral
shad lagi h,Neutral
"Tb angrez gaye to India Pak ko lara gaye
Ab phr wohi ho rha hai. Umeed hai smj nai ho gi ",Positive
Waiting,Neutral
Preedy Street Per Firing Se 1 Shakhs Zakhmi ,Negative
"Sarojini Naidu ki nazmon ke alfaaz khobsurat hote he the, in mein yeh khobi bhi thi ke inhe ba aasani gaya bhi ja sakta tha",Positive
Aam intekhab main ijazat plus specified quota agr jeet na sken to ....numaindagi ki hddd tka,Neutral
Ma ball bna rahi 😉😉,Neutral
Mohammad Hafeez: Chun ke hum Indian league ka hissa nahi is leye main ne is nilami mein dilchaspi nahi li,Negative
BHAi result KB aeege Ssu ki,Neutral
Apko kabhi apne lye mangne ki zarurt hi nahi paregi ,Positive
DFM 👊👊 tmhary jeju ki bat ho rhi th... 😒Han bs mjhe na double daikhna 😃😄 single e maar do mjhy.. 😂,Negative
Or lag chukay hain,Neutral
                                 ,Neutral
"It was more than a love...Love for ourselves....our Country...our beloved....our PAKISTAN!!! what we are but we are a PAKISTANI!!

Well done  (Y) and  :-)",Neutral
Insani haqooq key leyeh Ansar Burney ki khidmat key aeteraf mein hukumat Pakistan ki taraf sey unhain sitara e imtaiaz sey nawaza gea aur kai bainul aqwami aizazat bhi unkey hissay mein aeay hain taham jaisa key pehley ziker hua unhain kai halqon ki taraf sey tanqeed ka nishana bhi banaya jata rahta hay shaied iss ki waja yeh hai ke Ansar Burney insani haqooq key leyea kam kertey huay kisi ka sirf Pakistani hona zaruri khaial nahin kertey aur khasusan Pakistani jailon mein band Bharti qaideon ke haq mein awaz buland kerney par unka dosron ki nigah mein qabil nafreen tharna shaiad kisi had tak qabil faham hai.,Positive
"Mohammad Hafeez: Is mein koi ghair mamoli baat nahi, esa kisi ke sath bhi ho sakta hai, cricket mein kabhi batsman to kabhi blower ka bhari rehta hai",Neutral
mai shukar guzar hn ami abu ki :-/,Positive
"Dosto court ne up gradation case ka mohtasar faisala sunaya. UDC / LDC wala case jis banday nay kiya hoa ha us sy detail mein baat hoi. 16.12.2015 ko iss case ki date thi or us din wakeelon ki strike thi jis ki wajha sy us banday ka wakeel paesh nahi hoa magr establishment division and finance division ka wakeel paesh ho gaya or unhon ny kaha k PM ny upgradation ki summary approve kr li ha or budget mein implement ho jaye gi iss py judge ny case dispose off kr diye.Dosto agar ap araam se beto gay tu wahi summary jo PM ne approved keya ha araam se budget me implement ho jaye gi. Liken jab hum sab koshish kare tu summary as per KPK implement ho jaye gi. Aor ye federal mulazemeen kisath zayadati hay ke KPK ne May 2014, Punjab govt ne jan 2016 se implement karaya hay liken federal walay na kpk aor na punjab ki tra kare gay sirf apna summary bana ke implement kara degi. Court iss cheez ko nahi daekh rahi k PM ny jo summary approve ki ha wo as per KPK, Punjab nahi ha.@abi hamara next gadam kaya hogaPlz comments",Negative
mil jae ga dnt worry,Positive
Khabees aurat auqaat mein rahu....Khuda ki khudai ....mein kisi ka dakhal nai....maa baap paida kartay hein choose nahi kartay.Ab Altaaf hussain kay parents ko maloom tha Unka Beta kaisa niklay ga?,Negative
Main Nay Nataij K Hawalay Say Is Say Zyada Shireen Jaam Nahi Piya ,Negative
                                          ,Neutral
"Khoon khaulraha hai lekin mast hassi arahi hai kya baat hai. Jahil aurat.Mulk chalanay se insan ki personal life ka kya taluq. Mulk chalana hai bhai, kotha nahi. ",Negative
Jis ka ikhtetaam 1989 mein divorce par hua,Negative
Ye tOu matCh se pehly e Celebrate krny lg gaye thy ,Neutral
2 weeks say kyunn nahiii araha haii dramaaaa ,Negative
"Test matches mein in ki behtareen performance 1994 mein Willington mein New Zealand ke khilaaf thi, jab inho ne aik innings mein 139 runs ke badle mein 7 wickets hasil ki thin",Neutral
pata nahi meri frnd kab asi hogi ,Positive
Salam. Sir mujhe koi acha sa job chahiye. Mein 50wpm speed se typing kr sakta hon with 99% accuracy. please some one provide me some typing/data entry job.,Neutral
Is drama ko eid pe end na krein,Neutral
Hahahahaahha,Neutral
"app nay cancer kay marezo kay liye Asia ka  sub say bara hospital Shukat khanam Memorial Hospital  Lahore aik 
truest kay zariye qaim kiya",Positive
Kissay khabar wo muhabbat thi ya raqabat thi ,Negative
aunty bht bht shukriya😂😂♥️,Positive
Lagta mujy b aysa he hy,Neutral
in ki azmat ka ateraf January 2009 mein ICC  nay Hanif Muhammad aur Javed Miandad kay sath inhein apney pheley hall of fame  mein shamil kar kay kiya,Positive
Hidayat ki dua kije or roye aise logi par tv me dikhane se kuch nahi hoga agar aap rokne ki takat rakhti he to rokiye varna dil me bura janiye lekin uske gunaho ko kisi pe ujagar mat kariye Yeh Allah or bannde ka maam la he bas uske liye astag far kariya or meri bato ka bura laga ho to mujhe bhi maaf kijiye,Positive
meiny yeh b product order kia yeh nhi aya mery pas..kiun??or paisay le liye..,Negative
Kitna acha bhai hai kehta me daant kha lun ga ap tension na lo,Positive
Being a Rajpoot we are along with you.,Neutral
Yaar.  kasam se,Neutral
Kisi bhi drame ke kirdar ko haqiqat ke rangon se sajate Abid Ali ka orhna bichona sirf showbiz hai,Neutral
Ubqari kindly wazifa type ker dain,Neutral
Khay ap such main kisi sy suchi mobhat kurty hain,Neutral
Khrb ni hoti face p dany hon WO khtm,Neutral
Alhamdulilah se yaad hain copy paste nahi karne partey,Negative
 Ajj Pakistan kay alawa Islami duniya mein bhi Edhi nay aik ghar khudgharz aur muhtarma shaks kay tour sherat pai hai shurat aur izat kay bawud inhone apni sada zindagi ko tarak nahi kiya woh sada rawati Pakistani libas pehante hain jo sirf aik ya do din in ki mumlikat hai iske alawa in ki malkiyat khele joto ka aik jora hai jis ko woh sabqa 20 sal say istemal kar rahe hain,Positive
Nine Zero Pr Maulana Fazal Ur Rehman K Isteqbal Ki Tayari Haleem Halwa Tayar,Negative
ya allah madaad farma ameen,Positive
Ap ke walid Fateh Ali Khan aur Chacha Mubarak Ali Khan apne waqt ke mashoor qawwal the,Neutral
Hahahah,Neutral
Samjja nai :s,Neutral
Haan naa mjje dekhtey laga yeh ii brothers hn ,Neutral
Jo Log Sona Chaandi Jama Kar K ALLAH Ki Raah Me Kharach Nahi Kartay Un K Liye Dard Naak Azaab Hai ,Negative
Chor sary,Negative
"Mohammad Hafeez: Main is hawale se nahi sochta, qayadat ki izafi zimedari sonpne ka fasla board karta hai, us ne T20 ka mujhe captain banaya, main 100 sifad commitment se faraiz injam de raha hun, meri koshish hai ke team acha kheel pesh kare sath hi mustaqbil ke leye naya talent bhi farahum karna chahata hun",Neutral
g aa Mai end kr chori a ,Negative
ko b tag kro idr,Neutral
"Telugu mein unhon ne apni pheli film ""Malliswari"" ke leye 75 lac moawza wasol kiya jo us dor mein south ki kisi bhi filmi heroin ke leye bohat bhari moawza tha",Positive
jo jo en khabees loogon ko vote dey ga os p Allah ki lanaat,Negative
Is doran press qawanin mein tarmim kar ke Nawa e waqat ka deceleration mansokh kar diya gaya,Neutral
L0g 0r To0t Jate Hain Har Lafz Ko Apni Dastaan Samjh Kar ,Negative
yeh hai meri wali dieting 😂😂,Neutral
"meine yeh cream apne ghar waloun kay liay khareedi hai aur unbkay baqaul, yeh bohat achee hai istemal karne mein. The Vitamin Compnay khud bhee itne achay products nikaltee hai, tabhee isko trust kia. Delibhee tez aur theek thaak thee :)",Positive
offensive hojayega thoraa. last line best bol kr gayien aunty lekin :'),Neutral
 In ke walid ne is ki naqool apne doston mein taqseem ki aur aik copy nizaam Hyderabad ko bhi bheji,Positive
"Not to put her on screen. For roti, or kapra. Makaan. Pankhaa.",Neutral
Kuch dair k baad aap aaram aur sukoon se laitay  Clash of Kings ・George R R Martin・ka mutalia kar rahay thay k light phir chali gai.,Negative
Masha Allah Agar aisy insan dunya mn aor hon gy to hamen koi mushkil nahi ho gi zindagi mn,Negative
Bilkul jaisa picture mai dekha tha waisa he product tha ye aur mjhe boht pasand aaaya. Iski quality bilkul A1 thi aur mai iss cheez se bhi mutmayeen hun ke iski description bilkul sahi thi website pe.,Positive
tummy kam karna k totka please bata deay,Neutral
 15 December 1997 ki sham thi jab Juhar Town Lahore mein Justice (r) Rafiq Tarar ki rehaish ghah par bar bar phone ki ghanti bajne lagi,Neutral
Pak Colony Me Police Ka Opperation Jari Dakhali Or Kharji Raste Band ,Negative
Is ke bad wo PTV ke mukhtalif shows aur dramas mein baqaiydgi se hissa lene lagein,Neutral
Dakho ya pagal logon ko ya tu Gilgit hai :D,Negative
hahahhah,Neutral
Get well soon with your Red nosee..... :-D,Neutral
ni gor se toh dekh ,Neutral
feeling like Bjarne Stroustrup...:p,Neutral
say my thanks to uncle aunty 😘😘,Neutral
Devar ho tab itna nake me dam.kr rakha h,Negative
just look at these my GodThe karai pe dedetey ha and batiyaan wala are the best ,Positive
bachpan yaad agaya 😂 Jab main chup k makeup karti thi.,Neutral
Exactly ,Neutral
sir madan k lye ha ye to,Neutral
yrr hm Q hen aisy.. 😂😂,Neutral
 Unhen kamiyab karane ke leye Panjab aur Sindh ke wozra e aala ne do mehfooz tareen nashistein khali karaein thein aur unhen kamiyab karane ki zimedari qabol kit hi,Negative
In mein 26 centuries aur 66 half centuries bhi shamil hain  ,Neutral
"Ricky duniya ke iklote batsman hain, jinho ne 2 martaba aik calendar saal ke dauran test matches mein 1500 se zaiyd runs score kiye",Positive
Aaj fahad bhai ko invite karengey naaa,Neutral
Mahera ko fawad sy shadi kar layne chaheyae,Neutral
Hahahaha achi Tara dna,Positive
 2009 mien inho ne film Lahore mien shandar acting ka muzahira kiya,Positive
 Magar herat ki baat yeh hai ke us party ke dono air karda rehnuma yani sir Abdullah haroon aur sir shanawaz Bhutto apni apni nishast par shikast se do chaar ho gaey the,Negative
Haha. Awsm video kzn. Good one,Positive
Pak Fouj K Shohdaa K Lawahiqeen K Lye Sindh Me 9600 Acre Zameen Denay Ka Faisla ,Positive
yeh pakistani qoum deserve karti hai esy logun ko kuch log is act ko b defend kar rahy hain lanat hai,Negative
"Aslam aur Imran Khan mere coaches aur trainers hain, jo meri karkardagi ko har guzatre din ke sath behtar karne mein madad farahum kar rahe hain",Positive
Hahahhaha like shiree,Neutral
Wah wah,Neutral
yaqinan is sawaal ke kae jawab ho sakte hain,Neutral
Khi Me Aaj Rat 12 Baje Se Motorcycle Ki Double Sawari Per 3 Din K Lye Pabandi Hogi ,Negative
Allah khush aabad rakhay,Positive
wah wah kia soch pyi hy shahneez😂,Positive
Hahaha😂,Neutral
Mashallah. Jo rasta havelian bridge cross kr k damtor ki taraf jata hy wahan se Atd enter hota hy wahan b checking start kryn. Shamila hill se jo rasta haripur ki taraf jata hy wahan b,Positive
"In ka shumar apne mulk he nahi, duniya ke kamiyab tareen captains mein hota hai",Positive
Hahaha,Neutral
Kia huwa,Neutral
Asliat kuch mukhtalif thi.,Negative
Nabia Noor this is so you,Neutral
Wah behtareen ho buhoth khub Haseen or Nayab ho,Positive
Lanat ap pe bari wali,Negative
lol,Neutral
yeh kya hai,Neutral
" Pir Ali Rashdi, Pir Mohammad Rashid bani tehreek hurkey ki aulad hain",Neutral
Edhi free specialist clinic Moosa lane mein INT skin sugar aur bachon ke mahir Doctors ki janib se 57703 mareezon ka ilaaj kiya gaya.,Neutral
Iss tarah Hashim Khan satween mertaba(7-time) British open jeetne mein kamyab huye jo aik naya record tha,Positive
1986 mein Sharjah mein hone wale Australia  cup ka final ki akhri ball per Javed Miandad ne Chetan Sharma ko six mar kar Pakistan ko fatha diladi,Positive
Heheh sahi khel gai ,Negative
Restaurant Sealed Kar Dia Gaya ,Negative
Hahaha no doubt..apko ghaleez ideas mai e tou dyti thi 😂😂😂,Negative
Aor aisy bahut km hain ryt,Neutral
Go nawaz go,Neutral
Wasim Akram apne career ke urooj mein har aik ki tawajja ka markaz the,Positive
Bakwaas,Negative
Sylvester ki umer jab 9 baras hui to waldain mein alehdgi ho gai aur wo apni waldah ke sath rehne lage,Negative
Next time trophy apni a dont worry,Positive
" Unho ne Urdu mein Punjabi alfaz ka takhleeqi tor par istemaal kiya aur ek khobsurat shagufta nasar eijaad ki, jo inhe ka wasaf samjhi jati hai",Positive
"Putin Russia sarbarah mumlikat banne wale sab se kam umer shakhs hain, inho ne yeh aezaaz sirf 48 baras ki umer mein hasil kiya.",Neutral
Yaar kamal ka drama ha,Positive
  Imrna khan chun ka dafa karne ka bajaye attack karne ko tarjeh dete thay,Neutral
"Apnay kharchay khudd uthaa saknay wali independent aurat ko, jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay, (k g mein tou boht azeem aadmi hun k o biwi, tumhara kharcha uthaa rha hun) izzat k sath zindagi guzaar rhi ho, ussay kehtay hain kaamyaab aurat.",Positive
Lekin Haqeeqat ye bhi hai ke in ki ghazlon ka sarmaya kafi hai aur Hafeez Jullandhuri khud ko ghazal go kehalwana pasand karte the,Positive
Bhai ki ijaat doba di bhancho ,Negative
Allah pak ka Mulk e Pakistan k liay anmol tohfa... Allah en ko sehat e kamla dy.,Positive
woh ibtedai round ke matches mein behtareen kar kerdagi ka mozahra kerke final mein pahonche they,Positive
Tu hogi bachi,Negative
Ena sona kiun rab ne bnaya ,Positive
"- achi baat hai na, more people to agree with! ",Positive
apko to pta mera m bht next level ki post nikalti hu ,Neutral
Murshid aik tawajjah ki nazar mujh par bhe,Positive
Is player ko check karo :P kitna acha khelti :P,Positive
Zindagi bhar mein Marilyn Monroe ki waldiyat mutanaza he rahi,Negative
Is auhdey par 1954 tak faiyz rahe,Neutral
Yeh 28 November 1979 ka waqea hai jab Adleed mein Torsam Khan doosre round ke match mein New Zealand ke Newan Barber ke madd e moqabil they woh tamashayon sey bhari huee galri mein apne fun ka shandar mozahra ker rahe they,Positive
Well done Quetta Gladiators,Neutral
Fazol hai,Negative
"Main nahi samajhti ke main aik aura thon, main khud ko aik fard samajhti hon, aurat hona mere liye koi rukawat nahi.",Positive
30% ka suna ha bhry gi,Neutral
Isi kamiyabi se mutassir ho kar Steven Spielberg ne film Close Encounter banai  jis ne box office par acha business kiya,Positive
       ....,Neutral
Ya Allah hmary kisi gunah ya gustakhi ki wja se Tasbeeh khanay ki nisbat na cheen laina,Neutral
Sary haqooq hony cahaye,Positive
Un k pass aik robot thi jo chal nahi rahi thi.,Negative
" Yahan tak ke in ki shohrat ghar ghar pohanch gai, bilkhusoos in ka yeh jumla zabaan zadd khaas o aam ho gaya",Positive
Ghunni meesni bni bethi hti ho r sari gndi baten tm he krti ho 🤣🤣🤣🤣,Negative
 Afghanistan kay bohran ko hal karanay mein madad die gai,Positive
Toh main nachu? 😒,Neutral
smjh gaee ma,Neutral
sharam....kl light e nai thi ..,Negative
"Wahen un ki mulaqat Kaizad Gustad nami us producer se hoi thi jis ne""Boom"" India mein banai thi",Neutral
Jee?,Neutral
 Jamaat ke tarjuman Roznama Tasneem aur Roznama Kausar ke mudeer rahe,Neutral
Why so jazbati panjabiyon?  ye tw hamara falsafa tha ,Negative
Hain ! Ap beizati krh thi meri !? 😂😂 mje LGA koi lame joke Mr rh ha 😂😂,Negative
Chalo koi ni laro to ni ,Positive
remind you of anyone? 😉,Neutral
especially mam rehana k ppr me kbhi woh nzr nah aya joh prhaya unho ny,Negative
Yay mobile bhtreen hay,Positive
Cheel parenda,Neutral
BESHAK,Positive
Hahahaha ach paanje grp me chugli kroon thaa 😂,Negative
Yad reha k JIT main ISI aur MI k reps b tha jino sabot dia cjs ko.isi aur mi ko na manana ghadree ha jis ke sza mot ha,Neutral
Bhai baat tharak pan ki hoti to man leta. Ye na manzoor na manzoor,Negative
Ahahaha amazing!!,Neutral
Allah sab musal mana ko hidayat de,Positive
Na he koi Khawab ,Negative
Wifi ni video kese dekhun,Neutral
Chapal is looking so cute ,Neutral
:D,Neutral
Us waqat Liaquat Ali Khan Quaid e Azam ke dast e rast the aur Liaquat Ali Khan ki ghair rasmi dast e rast Rana Liaquat thein.,Neutral
 is college mein aap derh saal tak economics parhati rahein. ,Neutral
hahaha and your dialogue Tari kia life hai that amazing..... mai aksar apny dosto ko baat baat pay yahi kehta k tari kia life hai :P :D :P,Neutral
beautiful,Neutral
"President bnty he pury khandan air frineds ko hajj par ly jaya gaya on govt exp, apni salary mein heran kun increment, not pride but messsna",Negative
Main inhe un dino se janta hon  jab wo Jawan Raana hua karte the aur main radio Pakistan mein drama producer tha,Neutral
Bachoon ke sth zulm hota aarha hai sadiyoon se ,Negative
Darood Sharif Parh Kar Muslim Dosto Ko Send Kro 1 Bar Parhny Say 10 Gunah Mitaty Hain Or 10 Nikya Milti Hain ,Positive
Garak houjao,Negative
Bgyrat khine k,Negative
"Yeh mere chahne walon ke liye surprise ho ga, magar mujhe umeed hai ke jab wo mera geet sunege to use khob enjoy karenge",Positive
"abh shaam mian kafirun aour sheyrtanu ko fathey milnay waly hia bass ab waqaat howa chayta hia abh dunya mian bassany waly muslmanu ki khyer naheen , koshish kareyn apnay gunahun ki mafee allah say mangtey raheyan pata naheen ab kiya hashar bapa hunay wala hia ,,,rasool allah SAWS nay yahee farmaya hia kay agar shaam ki tabahee howe tu muslman apni khayer manayen bahut mushkil waqaat huga muslma ban kar reyhna iss dunya mian....allah hum sabh ko apni hifz w amaan mian rahey, ameen..",Negative
Me b cemnt agency walo ka bra shukrguzar ho hahahah,Positive
Beta g hai,Neutral
Pakistan ki murtad hakomat k 7 os Azim qoom ki betii ki koi fekar nahi,Negative
"Zaman e talib e ilmi mein unhen adakari ka koi shoq nahi tha, balke un ka ziyadah rujhan us dor mein musaviri aur tehrir ki taraf raha",Neutral
Aur Express walo k Neend kharab!,Neutral
ao university chaltay hain 😝,Neutral
"Is par Imran ne kaha, Kaisa celebrity status",Neutral
mere dost k pas aulad nhi khas fua kruy,Positive
just look.. who's posting this shit?,Neutral
Look like copy of Indian film housefull (all parts) real me b dresses ab inhon wahiyat kr lye hn ye to phir film ha,Negative
Lanat Allah ka azab qayamt ki nishaniya,Negative
Koi k isny kal bola tha shame on Zardari,Neutral
 Mulk mein aainni aur siyasi bhoan shidad ikhteyar kar chukka tha lehaza Sadar e Pakistan Ghulam Ishaq Khan ne 18 July 1993 ko Quomi assembly ke Speaker Ghohar Ayoub ko apna istifa peash kar deya jo unhon ne fori tor par mazor kar leya aur senit ke Chairman Waseem Sajad ne raat 12 baje ke baad qayam muqam Sardar ka halaf uthaya,Neutral
kabhi hum bhi tom bhi......,Neutral
Arrrrraaayyyy logo ziada feel na karo..Hum tw soul mates hain na <3,Positive
Kutta bhi dar k rasta napleyta hai,Negative
 DONE HAINA PHR?,Neutral
tm mjhse pyaar nh krtiii,Positive
sheetan aur munafuq loog jo aamun nahi chhahtay wo munfaaqat deekha rahey hai ,Negative
"Mujhe yaqeen hai ke jo log mazboot ikhlaqi iqdaar rakhte hain, wo aise logon ki zaroor himayat karenge",Positive
Hindu k tara ye q artae utar rahy hain koi aur kaam nhi karna ko,Negative
Aik Shaiyr ke taur par Faraz agarcha sehat zaban ke sath sath auzan-o-behwar par dastaras aur sheyr ki technique ki barikiyon se waqfiyat ko bhi bohat aehmiyat dete the,Positive
Yeh aik bohat piyara din tha ke jo hum ne apni family aur bachon ke sath guzara.,Positive
Hamare khandan mein weight barhne ka rujhaan hai he nahi.,Negative
Ye ap k husband hen,Positive
Ye baat ,Neutral
saray pti k ho na?,Neutral
aunty achaa khel gai hai,Negative
Isme mere ilawa bhi koi member Hy k nai?? ,Negative
QWP k Karim Khan Ne San at Or Arshad Umarzai Ne Tecnical Education Ki Wazarat Sanbhal Li ,Positive
Bht bura haal tha iska,Negative
Hahahaha liken rana shb piyari to hai,Positive
Chand hi salon mein Hashim ke khail ka meyar buland ho chukka tha lakin unhein uska ihsas nahein tha,Positive
...next time meri permission k bina koi chez use ki to bacho gi mj sy...😑😑😠,Negative
Lahore K Tajir 5 Aug Ko Hartal Karengy,Negative
baji aap loug ka bhi yehi haal hai :D,Neutral
Allah karey jiya dil har jaye,Negative
Hahahaha bat ee khtm ho gae SitAra KhAn :D,Neutral
Itni eng ka faida  ?,Negative
Video theak nai arahi,Negative
educators job k ly registration k waqt agar password bhol jy to login k ly kya krein kindly help,Negative
Jab ke Bharat mein inhe 1992 mein Tata Award mila,Positive
" British open per Khan family ki ajarah dari shuru ho gaie Hashim Khan ne sath martabah iss tournament ko jeeta iss dauran un ke chote bhai Azam Khan, kazan Roshan Khan aur bhanje Mohibullah Khan ne bhi apni salahyaton ka loha manwaya",Positive
Goli kis ko lagi hai,Negative
nice sis mujy baby waghyra bhot pasand hy nyc nd super duper,Positive
billo g ap sohni bohat h,Positive
Kiya hae 2:50 pey?,Neutral
DOW amp Jinnah Sindh Medical K Admisions 2016 MBBS Or BDS K Pre Entry Test K Nataij Ka Elan Krdya Gya Result NTS K Website Pr Hai,Neutral
Hahahaha..ye aap ki porii life ki summary hy😅😅,Neutral
laddu bhanto,Neutral
America murda baad. Lanat in so called humanitarians pay aur in politicians pay..,Negative
Allah pak hami o nasir o,Positive
Express I like this picBotter  Sohail Ahmed Chandio-=[ Onlybot_Top ]=-,Neutral
"Shadi ka na hona, jadu ka toor, bimariyan, Shoar ko apna bana ,jumla masil ka rohani haal mojod ha mayoos afrad rabta kren masla hal ho jaen ga inshallah.",Neutral
Aj tk kuch howa hy jo ab hoga .,Negative
Haha literally ,Neutral
 Aik taraf in ke siyasi pirokaron ki tadad lakhon mein hai to dosri janib mazhabi halqon mein bhi in ka barha asar o rasookh the,Positive
OGRA Ki Petroleum Qeemton Me Kami Ki Sifarish Summary Irsal Petrol Rs 6 15 Diesel 7 50 Matti Ka Tail 7 10 Sasta Hone Ka ,Positive
EID thi shaid is liye drama ni release hua....,Neutral
sabeen b ase he krti h mre saath,Neutral
1965 mein aik stage performance ke dauran pesh aane wale hadsey mein in ki back bone mutassir hui aur khatra tha ke shayad wo zindagi bhar ke liye maflooj ho jaenge,Negative
Zabardast. Aor baz ghaddar to is kiliy hokomat aati hi wazarat diniy ki batiy karti hai,Neutral
Wo sarhad ke dono atraf yaksan shohrat rakhte the,Positive
Main ne kuch dekhe bhale bagher he shadi ke liye in ki sherwani pasand karti thi.,Positive
"Un gramophone companies mein Colombia gramophone recording company, Hans Masters Voice aur Jaino phone recording company ke naam qabil e zikar hain",Neutral
Aandy b gram or tu b bht gram hy khbasat ki maari,Negative
Many Kb pochaaa,Positive
